Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device,Plan Duration
Standard,12,2022-08-09,Canada,32,Female,Tablet,1 Month
Premium,10,2022-08-06,United States,39,Male,Smart TV,1 Month
Basic,15,2022-07-17,United States,37,Male,Laptop,1 Month
Premium,11,2022-07-12,Canada,46,Male,Tablet,1 Month
Standard,11,2022-07-12,United Kingdom,39,Male,Smartphone,1 Month
Basic,12,2022-07-02,Australia,46,Female,Tablet,1 Month
Standard,13,2022-07-02,Germany,43,Male,Laptop,1 Month
Premium,10,2022-06-30,France,32,Female,Laptop,1 Month
Basic,12,2022-06-30,Brazil,30,Female,Smart TV,1 Month
Standard,11,2022-07-01,Mexico,40,Female,Tablet,1 Month
Premium,11,2022-06-30,Spain,51,Female,Smartphone,1 Month
Basic,10,2022-06-29,Italy,40,Female,Smartphone,1 Month
Premium,12,2022-06-30,Spain,28,Male,Smart TV,1 Month
Basic,14,2022-06-29,Spain,51,Female,Smartphone,1 Month
Standard,14,2022-06-26,United States,27,Male,Laptop,1 Month
Standard,14,2022-06-27,Canada,35,Male,Smart TV,1 Month
Basic,11,2022-06-24,United States,37,Male,Laptop,1 Month
Premium,14,2022-06-23,United States,51,Male,Smart TV,1 Month
Basic,11,2022-06-23,Canada,40,Male,Smart TV,1 Month
Standard,14,2022-06-25,United Kingdom,38,Male,Laptop,1 Month
Premium,11,2022-06-28,Australia,48,Female,Laptop,1 Month
Basic,11,2022-07-01,Germany,49,Male,Smartphone,1 Month
Premium,15,2022-07-02,France,33,Female,Laptop,1 Month
Basic,10,2022-07-06,Brazil,34,Female,Tablet,1 Month
Standard,15,2022-07-12,Mexico,39,Male,Tablet,1 Month
Standard,13,2022-07-17,Spain,37,Female,Tablet,1 Month
Basic,15,2022-07-23,Italy,44,Male,Laptop,1 Month
Premium,15,2022-07-29,Spain,35,Male,Tablet,1 Month
Basic,11,2022-08-06,Spain,31,Female,Laptop,1 Month
Standard,10,2022-08-09,United States,39,Male,Smart TV,1 Month
Premium,13,2022-08-14,Canada,38,Male,Tablet,1 Month
Basic,11,2022-08-20,United States,42,Male,Smartphone,1 Month
Premium,12,2022-08-28,United States,48,Female,Tablet,1 Month
Basic,11,2022-09-02,Canada,31,Male,Tablet,1 Month
Standard,11,2022-09-04,United Kingdom,42,Male,Smartphone,1 Month
Standard,14,2022-09-06,Australia,35,Male,Smartphone,1 Month
Basic,10,2022-09-14,Germany,39,Male,Laptop,1 Month
Premium,13,2022-09-15,France,50,Female,Tablet,1 Month
Basic,11,2022-09-16,Brazil,40,Male,Smartphone,1 Month
Standard,10,2022-09-28,Mexico,29,Male,Smartphone,1 Month
Premium,10,2022-10-02,Spain,48,Female,Smart TV,1 Month
Basic,15,2022-10-03,Italy,34,Male,Smartphone,1 Month
Premium,10,2022-10-05,Spain,48,Male,Smartphone,1 Month
Basic,12,2022-10-07,Spain,48,Male,Laptop,1 Month
Standard,12,2022-10-09,United States,35,Female,Tablet,1 Month
Standard,11,2022-10-11,Canada,29,Male,Laptop,1 Month
Basic,14,2022-10-13,United States,47,Female,Smart TV,1 Month
Premium,12,2022-10-15,United States,36,Male,Smartphone,1 Month
Basic,12,2022-10-17,Canada,40,Female,Smartphone,1 Month
Standard,14,2022-10-21,United Kingdom,51,Male,Tablet,1 Month
Premium,12,2022-10-23,Australia,37,Male,Smart TV,1 Month
Basic,12,2022-10-24,Germany,36,Male,Tablet,1 Month
Premium,12,2022-10-28,France,45,Male,Tablet,1 Month
Basic,11,2022-10-31,Brazil,31,Female,Tablet,1 Month
Standard,14,2022-11-03,Mexico,45,Female,Laptop,1 Month
Standard,11,2022-11-04,Spain,30,Male,Laptop,1 Month
Basic,14,2022-11-05,Italy,40,Female,Smartphone,1 Month
Premium,14,2022-11-06,Spain,44,Female,Smart TV,1 Month
Basic,12,2022-11-01,Spain,36,Female,Laptop,1 Month
Standard,10,2022-11-01,United States,36,Male,Tablet,1 Month
Premium,11,2022-10-29,Canada,32,Female,Smartphone,1 Month
Basic,10,2022-10-27,United States,46,Male,Smart TV,1 Month
Basic,12,2022-10-16,United States,39,Female,Smart TV,1 Month
Basic,13,2022-10-14,Canada,30,Male,Smart TV,1 Month
Standard,13,2022-09-14,United Kingdom,34,Male,Laptop,1 Month
Premium,14,2022-09-03,Australia,28,Male,Laptop,1 Month
Basic,13,2022-08-27,Germany,39,Female,Smartphone,1 Month
Basic,12,2022-08-27,France,34,Female,Laptop,1 Month
Premium,13,2022-08-21,Brazil,42,Male,Laptop,1 Month
Standard,13,2022-08-13,Mexico,29,Female,Tablet,1 Month
Standard,13,2022-08-12,Spain,29,Male,Tablet,1 Month
Basic,12,2022-07-24,Italy,30,Male,Tablet,1 Month
Premium,11,2022-07-24,Spain,51,Male,Smartphone,1 Month
Standard,11,2022-07-12,Spain,51,Male,Smart TV,1 Month
Basic,13,2022-07-09,United States,44,Male,Tablet,1 Month
Standard,13,2022-07-09,Canada,35,Male,Laptop,1 Month
Premium,10,2022-07-10,United States,39,Male,Smart TV,1 Month
Basic,12,2022-07-02,United States,41,Female,Laptop,1 Month
Premium,13,2022-07-02,Canada,44,Female,Laptop,1 Month
Standard,11,2022-07-01,United Kingdom,29,Male,Laptop,1 Month
Basic,14,2022-07-01,Australia,47,Male,Tablet,1 Month
Standard,10,2022-06-30,Germany,28,Female,Smartphone,1 Month
Premium,15,2022-06-29,France,45,Male,Laptop,1 Month
Basic,11,2022-06-26,Brazil,28,Female,Smartphone,1 Month
Standard,14,2022-06-27,Mexico,31,Female,Laptop,1 Month
Premium,13,2022-06-25,Spain,47,Female,Laptop,1 Month
Basic,13,2022-06-23,Italy,42,Female,Tablet,1 Month
Premium,14,2022-06-24,Spain,34,Female,Laptop,1 Month
Basic,12,2022-06-25,Spain,40,Female,Laptop,1 Month
Standard,13,2022-06-26,United States,42,Female,Laptop,1 Month
Standard,14,2022-06-27,Canada,33,Male,Smart TV,1 Month
Basic,12,2022-06-30,United States,30,Male,Laptop,1 Month
Premium,14,2022-07-03,United States,29,Male,Tablet,1 Month
Basic,13,2022-07-09,Canada,31,Male,Smart TV,1 Month
Standard,14,2022-07-17,United Kingdom,46,Female,Smart TV,1 Month
Premium,11,2022-07-22,Australia,46,Female,Smartphone,1 Month
Basic,11,2022-07-28,Germany,47,Male,Laptop,1 Month
Premium,12,2022-08-04,France,48,Female,Smart TV,1 Month
Basic,13,2022-08-08,Brazil,32,Female,Smart TV,1 Month
Standard,13,2022-08-13,Mexico,51,Female,Tablet,1 Month
Standard,13,2022-08-17,Spain,33,Male,Smart TV,1 Month
Basic,15,2022-08-20,Italy,43,Male,Smartphone,1 Month
Premium,14,2022-08-28,Spain,43,Female,Smart TV,1 Month
Basic,13,2022-08-29,Spain,42,Male,Smart TV,1 Month
Standard,15,2022-09-03,United States,30,Male,Smartphone,1 Month
Premium,13,2022-09-10,Canada,50,Male,Smartphone,1 Month
Basic,11,2022-09-13,United States,51,Female,Laptop,1 Month
Premium,14,2022-09-15,United States,36,Female,Tablet,1 Month
Basic,13,2022-09-25,Canada,41,Female,Tablet,1 Month
Standard,10,2022-10-01,United Kingdom,37,Male,Smart TV,1 Month
Standard,11,2022-10-02,Australia,30,Female,Tablet,1 Month
Basic,11,2022-10-05,Germany,50,Female,Tablet,1 Month
Premium,14,2022-10-06,France,41,Female,Smart TV,1 Month
Basic,14,2022-10-07,Brazil,29,Female,Laptop,1 Month
Standard,12,2022-10-10,Mexico,43,Male,Smart TV,1 Month
Premium,12,2022-10-12,Spain,31,Female,Smart TV,1 Month
Basic,14,2022-10-15,Italy,40,Male,Laptop,1 Month
Premium,12,2022-10-17,Spain,35,Female,Smart TV,1 Month
Basic,13,2022-10-21,Spain,39,Female,Laptop,1 Month
Standard,14,2022-10-23,United States,48,Male,Laptop,1 Month
Standard,14,2022-10-24,Canada,42,Female,Tablet,1 Month
Basic,11,2022-10-27,United States,48,Female,Smart TV,1 Month
Premium,10,2022-10-30,United States,33,Female,Smart TV,1 Month
Basic,14,2022-10-31,Canada,45,Female,Smart TV,1 Month
Standard,14,2022-11-03,United Kingdom,40,Female,Smart TV,1 Month
Premium,15,2022-11-05,Australia,38,Male,Tablet,1 Month
Basic,14,2022-11-06,Germany,31,Female,Tablet,1 Month
Premium,14,2022-11-01,France,33,Female,Smart TV,1 Month
Basic,15,2022-11-02,Brazil,27,Male,Laptop,1 Month
Standard,13,2022-11-02,Mexico,47,Male,Smartphone,1 Month
Standard,15,2022-11-01,Spain,41,Male,Tablet,1 Month
Basic,11,2022-10-17,Italy,32,Female,Smart TV,1 Month
Premium,11,2022-10-18,Spain,31,Male,Smart TV,1 Month
Basic,13,2022-09-28,Spain,43,Female,Tablet,1 Month
Standard,15,2022-09-23,United States,42,Female,Smart TV,1 Month
Premium,15,2022-09-22,Canada,46,Male,Smartphone,1 Month
Basic,12,2022-08-31,United States,27,Female,Smartphone,1 Month
Basic,15,2022-08-28,United States,48,Female,Smart TV,1 Month
Basic,15,2022-08-27,Canada,49,Male,Laptop,1 Month
Standard,12,2022-08-17,United Kingdom,43,Male,Smart TV,1 Month
Premium,14,2022-08-09,Australia,38,Male,Laptop,1 Month
Basic,13,2022-07-24,Germany,37,Male,Smartphone,1 Month
Basic,12,2022-07-16,France,39,Female,Smart TV,1 Month
Premium,10,2022-07-15,Brazil,40,Male,Tablet,1 Month
Standard,12,2022-07-12,Mexico,40,Male,Smart TV,1 Month
Standard,12,2022-07-12,Spain,48,Male,Laptop,1 Month
Basic,13,2022-07-09,Italy,43,Female,Smart TV,1 Month
Premium,10,2022-07-05,Spain,46,Male,Laptop,1 Month
Standard,11,2022-07-05,Spain,43,Male,Smartphone,1 Month
Basic,10,2022-07-03,United States,30,Female,Tablet,1 Month
Standard,13,2022-07-01,Canada,51,Female,Laptop,1 Month
Premium,12,2022-06-30,United States,30,Male,Smartphone,1 Month
Basic,14,2022-06-27,United States,47,Female,Smart TV,1 Month
Premium,13,2022-06-28,Canada,41,Male,Laptop,1 Month
Standard,10,2022-06-28,United Kingdom,45,Female,Smartphone,1 Month
Basic,14,2022-06-24,Australia,47,Female,Laptop,1 Month
Standard,11,2022-06-24,Germany,48,Female,Smart TV,1 Month
Premium,11,2022-06-25,France,51,Female,Tablet,1 Month
Basic,10,2022-06-26,Brazil,29,Male,Smart TV,1 Month
Standard,13,2022-06-27,Mexico,43,Female,Laptop,1 Month
Premium,13,2022-06-29,Spain,49,Female,Tablet,1 Month
Basic,11,2022-07-02,Italy,37,Male,Smartphone,1 Month
Premium,13,2022-07-07,Spain,48,Male,Tablet,1 Month
Basic,11,2022-07-13,Spain,36,Female,Tablet,1 Month
Standard,14,2022-07-18,United States,33,Female,Laptop,1 Month
Standard,14,2022-07-24,Canada,38,Female,Laptop,1 Month
Basic,12,2022-07-31,United States,42,Female,Smartphone,1 Month
Premium,15,2022-08-01,United States,30,Female,Tablet,1 Month
Basic,10,2022-08-08,Canada,39,Male,Smart TV,1 Month
Standard,14,2022-08-13,United Kingdom,36,Male,Smartphone,1 Month
Premium,11,2022-08-14,Australia,27,Female,Smartphone,1 Month
Basic,11,2022-08-23,Germany,49,Male,Smart TV,1 Month
Premium,14,2022-08-27,France,31,Male,Laptop,1 Month
Basic,10,2022-08-31,Brazil,36,Male,Laptop,1 Month
Standard,14,2022-09-09,Mexico,41,Female,Tablet,1 Month
Standard,10,2022-09-10,Spain,45,Female,Laptop,1 Month
Basic,14,2022-09-12,Italy,45,Male,Smart TV,1 Month
Premium,11,2022-09-17,Spain,32,Male,Smart TV,1 Month
Basic,13,2022-09-21,Spain,41,Female,Smartphone,1 Month
Standard,11,2022-10-02,United States,37,Male,Smart TV,1 Month
Premium,10,2022-10-04,Canada,27,Male,Laptop,1 Month
Basic,14,2022-10-06,United States,41,Male,Laptop,1 Month
Premium,13,2022-10-07,United States,30,Female,Smart TV,1 Month
Basic,12,2022-10-08,Canada,43,Male,Smartphone,1 Month
Standard,12,2022-10-11,United Kingdom,51,Male,Laptop,1 Month
Standard,12,2022-10-13,Australia,46,Female,Smart TV,1 Month
Basic,10,2022-10-15,Germany,27,Female,Tablet,1 Month
Premium,10,2022-10-19,France,51,Female,Smartphone,1 Month
Basic,14,2022-10-21,Brazil,28,Female,Laptop,1 Month
Standard,14,2022-10-23,Mexico,33,Male,Smartphone,1 Month
Premium,12,2022-10-26,Spain,31,Female,Laptop,1 Month
Basic,13,2022-10-27,Italy,47,Male,Laptop,1 Month
Premium,10,2022-10-31,Spain,45,Female,Tablet,1 Month
Basic,13,2022-11-03,Spain,42,Male,Smart TV,1 Month
Standard,15,2022-11-05,United States,47,Female,Smart TV,1 Month
Standard,12,2022-11-06,Canada,29,Female,Smart TV,1 Month
Basic,13,2022-11-03,United States,49,Female,Laptop,1 Month
Premium,14,2022-11-03,United States,41,Female,Laptop,1 Month
Basic,13,2022-11-04,Canada,45,Male,Smartphone,1 Month
Standard,14,2022-11-02,United Kingdom,49,Male,Smart TV,1 Month
Premium,13,2022-10-27,Australia,41,Male,Smart TV,1 Month
Basic,15,2022-10-27,Germany,37,Male,Laptop,1 Month
Premium,14,2022-10-15,France,31,Male,Smartphone,1 Month
Basic,13,2022-10-03,Brazil,29,Male,Smartphone,1 Month
Standard,10,2022-09-25,Mexico,51,Female,Smart TV,1 Month
Standard,12,2022-09-16,Spain,33,Male,Smart TV,1 Month
Basic,12,2022-09-14,Italy,31,Male,Smartphone,1 Month
Premium,11,2022-09-11,Spain,42,Female,Laptop,1 Month
Basic,15,2022-09-09,Spain,48,Female,Laptop,1 Month
Standard,13,2022-08-12,United States,37,Female,Laptop,1 Month
Premium,13,2022-08-04,Canada,51,Female,Smartphone,1 Month
Basic,12,2022-08-04,United States,29,Female,Tablet,1 Month
Basic,13,2022-07-31,United States,46,Male,Tablet,1 Month
Basic,15,2022-07-29,Canada,35,Male,Smart TV,1 Month
Standard,15,2022-07-14,United Kingdom,44,Female,Smartphone,1 Month
Premium,12,2022-07-13,Australia,36,Male,Smart TV,1 Month
Basic,14,2022-07-11,Germany,38,Female,Tablet,1 Month
Basic,12,2022-07-12,France,36,Male,Smart TV,1 Month
Premium,14,2022-07-11,Brazil,40,Female,Laptop,1 Month
Standard,10,2022-07-02,Mexico,29,Male,Laptop,1 Month
Standard,11,2022-06-30,Spain,32,Male,Smart TV,1 Month
Basic,12,2022-06-30,Italy,30,Male,Laptop,1 Month
Premium,10,2022-06-29,Spain,47,Male,Smartphone,1 Month
Standard,15,2022-06-30,Spain,28,Female,Tablet,1 Month
Basic,11,2022-06-24,United States,49,Male,Laptop,1 Month
Standard,12,2022-06-25,Canada,50,Male,Smartphone,1 Month
Premium,11,2022-06-25,United States,33,Male,Smart TV,1 Month
Basic,13,2022-06-26,United States,50,Male,Smart TV,1 Month
Premium,10,2022-06-27,Canada,28,Female,Smart TV,1 Month
Standard,12,2022-06-29,United Kingdom,41,Male,Smartphone,1 Month
Basic,12,2022-07-01,Australia,30,Female,Smartphone,1 Month
Standard,10,2022-07-03,Germany,32,Male,Smart TV,1 Month
Premium,15,2022-07-12,France,50,Male,Laptop,1 Month
Basic,11,2022-07-15,Brazil,28,Female,Smart TV,1 Month
Standard,13,2022-07-19,Mexico,45,Male,Smart TV,1 Month
Premium,14,2022-07-27,Spain,31,Male,Tablet,1 Month
Basic,11,2022-07-29,Italy,27,Female,Smartphone,1 Month
Premium,11,2022-08-06,Spain,49,Male,Tablet,1 Month
Basic,10,2022-08-13,Spain,32,Female,Laptop,1 Month
Standard,13,2022-08-14,United States,38,Male,Smart TV,1 Month
Standard,11,2022-08-20,Canada,39,Male,Smartphone,1 Month
Basic,14,2022-08-24,United States,50,Female,Tablet,1 Month
Premium,10,2022-08-28,United States,51,Male,Tablet,1 Month
Basic,15,2022-09-05,Canada,32,Female,Smart TV,1 Month
Standard,12,2022-09-10,United Kingdom,45,Female,Smart TV,1 Month
Premium,12,2022-09-11,Australia,31,Female,Laptop,1 Month
Basic,12,2022-09-14,Germany,44,Male,Smartphone,1 Month
Premium,12,2022-09-21,France,30,Female,Tablet,1 Month
Basic,13,2022-09-26,Brazil,44,Female,Tablet,1 Month
Standard,10,2022-09-30,Mexico,37,Male,Tablet,1 Month
Standard,14,2022-10-02,Spain,30,Female,Tablet,1 Month
Basic,12,2022-10-06,Italy,31,Female,Smart TV,1 Month
Premium,15,2022-10-07,Spain,31,Female,Laptop,1 Month
Basic,15,2022-10-09,Spain,44,Male,Tablet,1 Month
Standard,10,2022-10-11,United States,44,Female,Smart TV,1 Month
Premium,14,2022-10-12,Canada,34,Male,Laptop,1 Month
Basic,12,2022-10-16,United States,42,Male,Laptop,1 Month
Premium,15,2022-10-17,United States,33,Male,Smartphone,1 Month
Basic,11,2022-10-21,Canada,35,Male,Smart TV,1 Month
Standard,15,2022-10-23,United Kingdom,34,Female,Laptop,1 Month
Standard,14,2022-10-25,Australia,47,Male,Tablet,1 Month
Basic,13,2022-10-27,Germany,43,Female,Laptop,1 Month
Premium,13,2022-10-29,France,43,Male,Smart TV,1 Month
Basic,13,2022-11-01,Brazil,35,Female,Smartphone,1 Month
Standard,13,2022-11-04,Mexico,39,Male,Tablet,1 Month
Premium,10,2022-11-04,Spain,39,Male,Tablet,1 Month
Basic,11,2022-11-04,Italy,49,Female,Smart TV,1 Month
Premium,14,2022-11-05,Spain,30,Male,Tablet,1 Month
Basic,12,2022-11-02,Spain,31,Female,Tablet,1 Month
Standard,12,2022-11-03,United States,39,Male,Tablet,1 Month
Standard,14,2022-10-30,Canada,30,Female,Laptop,1 Month
Basic,13,2022-10-31,United States,43,Female,Smartphone,1 Month
Premium,10,2022-10-14,United States,29,Female,Smartphone,1 Month
Basic,14,2022-09-26,Canada,46,Male,Smart TV,1 Month
Standard,15,2022-09-17,United Kingdom,35,Male,Smartphone,1 Month
Premium,12,2022-09-16,Australia,30,Male,Tablet,1 Month
Basic,12,2022-09-12,Germany,39,Female,Smart TV,1 Month
Premium,14,2022-09-12,France,41,Male,Laptop,1 Month
Basic,12,2022-08-29,Brazil,27,Male,Smartphone,1 Month
Standard,15,2022-08-25,Mexico,42,Male,Laptop,1 Month
Standard,11,2022-08-15,Spain,45,Female,Tablet,1 Month
Basic,10,2022-08-11,Italy,36,Female,Smart TV,1 Month
Premium,12,2022-08-10,Spain,35,Male,Laptop,1 Month
Basic,13,2022-07-26,Spain,38,Male,Smartphone,1 Month
Standard,14,2022-07-19,United States,41,Female,Smart TV,1 Month
Premium,10,2022-07-17,Canada,43,Male,Tablet,1 Month
Basic,13,2022-07-17,United States,44,Male,Tablet,1 Month
Basic,10,2022-07-17,United States,35,Male,Tablet,1 Month
Basic,13,2022-07-11,Canada,39,Male,Laptop,1 Month
Standard,15,2022-07-07,United Kingdom,43,Male,Smart TV,1 Month
Premium,10,2022-07-07,Australia,36,Male,Smart TV,1 Month
Basic,11,2022-07-08,Germany,49,Female,Laptop,1 Month
Basic,12,2022-07-06,France,29,Female,Smartphone,1 Month
Premium,10,2022-07-03,Brazil,45,Male,Tablet,1 Month
Standard,11,2022-06-30,Mexico,44,Female,Laptop,1 Month
Standard,11,2022-06-27,Spain,40,Female,Smart TV,1 Month
Basic,15,2022-06-26,Italy,51,Female,Smart TV,1 Month
Premium,15,2022-06-27,Spain,30,Female,Smart TV,1 Month
Standard,14,2022-06-28,Spain,50,Male,Smart TV,1 Month
Basic,12,2022-06-30,United States,39,Male,Tablet,1 Month
Standard,11,2022-07-02,Canada,51,Male,Tablet,1 Month
Premium,10,2022-07-05,United States,42,Male,Laptop,1 Month
Basic,12,2022-07-11,United States,34,Female,Tablet,1 Month
Premium,12,2022-07-18,Canada,28,Male,Tablet,1 Month
Standard,15,2022-07-25,United Kingdom,43,Male,Tablet,1 Month
Basic,11,2022-07-28,Australia,27,Female,Tablet,1 Month
Standard,13,2022-08-05,Germany,49,Female,Smart TV,1 Month
Premium,14,2022-08-09,France,35,Female,Laptop,1 Month
Basic,10,2022-08-14,Brazil,34,Male,Tablet,1 Month
Standard,14,2022-08-15,Mexico,28,Male,Smartphone,1 Month
Premium,15,2022-08-16,Spain,49,Female,Tablet,1 Month
Basic,12,2022-08-25,Italy,51,Female,Tablet,1 Month
Premium,13,2022-08-27,Spain,36,Male,Laptop,1 Month
Basic,13,2022-09-06,Spain,37,Male,Smart TV,1 Month
Standard,11,2022-09-08,United States,48,Male,Laptop,1 Month
Standard,13,2022-09-13,Canada,45,Female,Smart TV,1 Month
Basic,11,2022-09-15,United States,39,Male,Tablet,1 Month
Premium,14,2022-09-19,United States,39,Male,Smartphone,1 Month
Basic,15,2022-09-22,Canada,46,Female,Smart TV,1 Month
Standard,13,2022-09-24,United Kingdom,30,Female,Smartphone,1 Month
Premium,10,2022-09-30,Australia,32,Female,Smartphone,1 Month
Basic,11,2022-10-03,Germany,39,Male,Laptop,1 Month
Premium,15,2022-10-08,France,35,Female,Smartphone,1 Month
Basic,15,2022-10-09,Brazil,41,Female,Smartphone,1 Month
Standard,11,2022-10-12,Mexico,32,Female,Smart TV,1 Month
Standard,14,2022-10-15,Spain,41,Female,Smart TV,1 Month
Basic,14,2022-10-17,Italy,36,Female,Smart TV,1 Month
Premium,15,2022-10-19,Spain,49,Male,Laptop,1 Month
Basic,11,2022-10-22,Spain,30,Female,Smartphone,1 Month
Standard,15,2022-10-23,United States,40,Female,Smartphone,1 Month
Premium,13,2022-10-27,Canada,46,Female,Tablet,1 Month
Basic,11,2022-10-28,United States,30,Female,Smart TV,1 Month
Premium,10,2022-11-01,United States,48,Male,Laptop,1 Month
Basic,11,2022-11-04,Canada,50,Male,Tablet,1 Month
Standard,11,2022-11-05,United Kingdom,27,Male,Smart TV,1 Month
Standard,14,2022-11-04,Australia,51,Female,Laptop,1 Month
Basic,11,2022-11-05,Germany,38,Male,Smartphone,1 Month
Premium,10,2022-11-04,France,39,Male,Laptop,1 Month
Basic,12,2022-11-05,Brazil,45,Female,Smart TV,1 Month
Standard,12,2022-11-03,Mexico,29,Male,Laptop,1 Month
Premium,13,2022-10-31,Spain,35,Male,Smartphone,1 Month
Basic,10,2022-10-26,Italy,51,Female,Smart TV,1 Month
Premium,11,2022-10-16,Spain,51,Male,Smart TV,1 Month
Basic,15,2022-10-16,Spain,42,Female,Smartphone,1 Month
Standard,13,2022-09-17,United States,48,Female,Laptop,1 Month
Standard,14,2022-09-12,Canada,40,Male,Smart TV,1 Month
Basic,13,2022-09-13,United States,39,Male,Smart TV,1 Month
Premium,14,2022-09-09,United States,44,Male,Laptop,1 Month
Basic,14,2022-09-03,Canada,27,Female,Laptop,1 Month
Standard,11,2022-08-31,United Kingdom,35,Male,Tablet,1 Month
Premium,14,2022-08-25,Australia,45,Male,Smart TV,1 Month
Basic,12,2022-08-15,Germany,33,Male,Tablet,1 Month
Premium,10,2022-08-16,France,32,Female,Smart TV,1 Month
Basic,11,2022-07-28,Brazil,51,Female,Laptop,1 Month
Standard,10,2022-07-28,Mexico,40,Female,Tablet,1 Month
Standard,15,2022-07-22,Spain,47,Male,Laptop,1 Month
Basic,13,2022-07-19,Italy,42,Male,Smart TV,1 Month
Premium,10,2022-07-16,Spain,41,Male,Tablet,1 Month
Basic,12,2022-07-15,Spain,43,Male,Tablet,1 Month
Standard,11,2022-07-16,United States,42,Female,Tablet,1 Month
Premium,14,2022-07-09,Canada,28,Male,Smartphone,1 Month
Basic,12,2022-07-07,United States,40,Female,Laptop,1 Month
Basic,15,2022-07-07,United States,46,Female,Tablet,1 Month
Basic,11,2022-07-06,Canada,39,Female,Laptop,1 Month
Standard,15,2022-06-30,United Kingdom,41,Female,Smartphone,1 Month
Premium,15,2022-06-27,Australia,30,Male,Tablet,1 Month
Basic,14,2022-06-28,Germany,32,Male,Tablet,1 Month
Basic,14,2022-06-28,France,38,Male,Smart TV,1 Month
Premium,11,2022-06-29,Brazil,38,Male,Tablet,1 Month
Standard,13,2022-07-01,Mexico,32,Male,Smartphone,1 Month
Standard,14,2022-07-03,Spain,27,Male,Tablet,1 Month
Basic,15,2022-07-04,Italy,50,Female,Tablet,1 Month
Premium,10,2022-07-10,Spain,30,Male,Smartphone,1 Month
Standard,11,2022-07-23,Spain,49,Male,Smartphone,1 Month
Basic,11,2022-07-24,United States,32,Female,Laptop,1 Month
Standard,14,2022-07-26,Canada,35,Male,Smartphone,1 Month
Premium,12,2022-08-07,United States,44,Male,Tablet,1 Month
Basic,13,2022-08-10,United States,49,Female,Laptop,1 Month
Premium,13,2022-08-14,Canada,39,Male,Smartphone,1 Month
Standard,12,2022-08-16,United Kingdom,38,Female,Smartphone,1 Month
Basic,10,2022-08-20,Australia,38,Female,Laptop,1 Month
Standard,11,2022-08-25,Germany,37,Male,Smartphone,1 Month
Premium,11,2022-08-28,France,28,Male,Laptop,1 Month
Basic,11,2022-09-05,Brazil,49,Male,Tablet,1 Month
Standard,13,2022-09-08,Mexico,33,Female,Tablet,1 Month
Premium,10,2022-09-14,Spain,48,Male,Tablet,1 Month
Basic,13,2022-09-16,Italy,34,Male,Tablet,1 Month
Premium,13,2022-09-19,Spain,39,Female,Smartphone,1 Month
Basic,15,2022-09-23,Spain,30,Male,Tablet,1 Month
Standard,10,2022-09-29,United States,37,Male,Tablet,1 Month
Standard,10,2022-10-02,Canada,38,Male,Smart TV,1 Month
Basic,12,2022-10-08,United States,42,Female,Laptop,1 Month
Premium,15,2022-10-09,United States,35,Female,Laptop,1 Month
Basic,14,2022-10-11,Canada,30,Male,Tablet,1 Month
Standard,15,2022-10-14,United Kingdom,48,Female,Smart TV,1 Month
Premium,14,2022-10-16,Australia,48,Male,Tablet,1 Month
Basic,13,2022-10-18,Germany,32,Male,Laptop,1 Month
Premium,15,2022-10-22,France,27,Male,Smart TV,1 Month
Basic,10,2022-10-23,Brazil,48,Female,Laptop,1 Month
Standard,12,2022-10-26,Mexico,33,Male,Laptop,1 Month
Standard,13,2022-10-27,Spain,28,Male,Smartphone,1 Month
Basic,15,2022-10-31,Italy,46,Male,Laptop,1 Month
Premium,11,2022-11-01,Spain,40,Male,Laptop,1 Month
Basic,13,2022-11-03,Spain,49,Male,Smartphone,1 Month
Standard,14,2022-11-04,United States,41,Female,Tablet,1 Month
Premium,13,2022-11-05,Canada,38,Male,Tablet,1 Month
Basic,13,2022-11-05,United States,42,Female,Laptop,1 Month
Premium,13,2022-11-05,United States,27,Female,Smart TV,1 Month
Basic,12,2022-11-05,Canada,41,Female,Tablet,1 Month
Standard,13,2022-11-03,United Kingdom,41,Female,Tablet,1 Month
Standard,11,2022-10-27,Australia,49,Male,Laptop,1 Month
Basic,14,2022-10-24,Germany,28,Female,Smartphone,1 Month
Premium,13,2022-10-17,France,44,Male,Laptop,1 Month
Basic,11,2022-10-06,Brazil,47,Female,Tablet,1 Month
Standard,12,2022-09-18,Mexico,29,Male,Tablet,1 Month
Premium,10,2022-09-17,Spain,31,Female,Laptop,1 Month
Basic,12,2022-09-13,Italy,28,Female,Smart TV,1 Month
Premium,15,2022-09-09,Spain,32,Male,Smart TV,1 Month
Basic,12,2022-09-02,Spain,43,Male,Smartphone,1 Month
Standard,13,2022-09-01,United States,48,Male,Smart TV,1 Month
Standard,10,2022-08-16,Canada,28,Male,Laptop,1 Month
Basic,14,2022-08-17,United States,31,Female,Tablet,1 Month
Premium,15,2022-07-29,United States,47,Male,Laptop,1 Month
Basic,13,2022-07-28,Canada,39,Female,Smartphone,1 Month
Standard,13,2022-07-25,United Kingdom,35,Male,Smartphone,1 Month
Premium,10,2022-07-26,Australia,42,Female,Smartphone,1 Month
Basic,11,2022-07-17,Germany,30,Male,Smart TV,1 Month
Premium,14,2022-07-16,France,34,Male,Smartphone,1 Month
Basic,11,2022-07-17,Brazil,35,Male,Smartphone,1 Month
